7054_6#10,7038_4#24,6925_6#22,6736_8#15,6710_8#17,6949_1#12,6925_6#14,6899_7#12,6710_7#24,7038_6#19,6925_6#10,6823_1#24,7038_6#9,6823_7#15,6805_5#11,6823_3#13,7004_5#8,6925_8#20,6949_1#4,7004_5#9,6775_1#2,6753_1#3,6925_5#12,6938_8#4,6925_8#6,6938_7#22,6731_2#17,6680_5#8,6830_3#20,7038_4#2,6807_2#17,6664_1#17,7092_6#8,7004_6#37,6949_3#17,6805_6#14,6807_3#21,6983_6#35,7054_6#22,6755_3#2,6949_3#23,6753_4#24,6899_5#23,6840_1#5,6755_6#10,6736_7#5,6805_5#19,6805_5#9,6730_7#15
7092_6#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,7.79184163167366,8.82343531293725,7.90441911617683,7.36792641471709,9.43631273745241,12.604879024195,5.01259748050389,8.4479104179163,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_6#37,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.79184163167366,0,9.31393721255738,8.39492101579689,7.85842831433709,9.92681463707256,13.0953809238153,10.1921615676863,13.6274745050988,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_3#17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.82343531293725,9.31393721255738,0,7.07578484303151,6.53929214157166,8.6076784643073,11.7762447510498,11.2237552489501,14.6590681863627,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_6#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.90441911617683,8.39492101579689,7.07578484303151,0,2.7772445510899,6.39252149570102,9.56108778244345,10.3047390521895,13.7400519896021,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6807_3#21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.36792641471709,7.85842831433709,6.53929214157166,2.7772445510899,0,5.85602879424124,9.0245950809837,9.7682463507297,13.2035592881423,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_6#35,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.43631273745241,9.92681463707256,8.6076784643073,6.39252149570102,5.85602879424124,0,5.96840631873637,11.8366326734651,15.2719456108777,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7054_6#22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.604879024195,13.0953809238153,11.7762447510498,9.56108778244345,9.0245950809837,5.96840631873637,0,15.005198960208,18.4405118976202,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_3#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.01259748050389,10.1921615676863,11.2237552489501,10.3047390521895,9.7682463507297,11.8366326734651,15.005198960208,0,8.9590081983602,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6949_3#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.4479104179163,13.6274745050988,14.6590681863627,13.7400519896021,13.2035592881423,15.2719456108777,18.4405118976202,8.9590081983602,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_4#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,9.01239752049586,8.50289942011602,Inf,Inf,Inf,Inf,Inf
6899_5#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,9.01239752049586,0,5.54129174165167,Inf,Inf,Inf,Inf,Inf
6840_1#5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.50289942011602,5.54129174165167,0,Inf,Inf,Inf,Inf,Inf
6755_6#10,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.32613477304526,7.64647070585883,Inf,Inf
6736_7#5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.32613477304526,0,7.85102979404122,Inf,Inf
6805_5#19,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.64647070585883,7.85102979404122,0,Inf,Inf
6805_5#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,5.79984003199365
6730_7#15,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,5.79984003199365,0
