6807_1#24,6736_8#17,6805_5#12,6680_7#19,6925_8#2,6925_4#12,6972_2#13,7054_5#14,6680_8#18,6630_2#15,6949_2#24,6680_7#3,6730_5#24,6805_2#4,6925_6#5,7004_6#44,6840_1#10,6949_2#7,6755_4#5,6949_3#14,6631_7#12,6649_7#14,6949_1#9,6823_3#2,6775_2#9,6823_5#20,6730_1#7,6983_3#61,6938_5#14,7004_7#62,7038_8#27,6972_4#11,6899_5#13,6972_3#1,6949_3#2,6731_4#7,6736_5#20,6259_7#4,6736_7#21,6925_5#14,6680_4#6
6949_1#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.47570485902814,13.3613277344529,17.6564687062586,12.4755048990201,18.7036592681463,20.6822635472904,21.4157168566285,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_3#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.47570485902814,0,11.1735652869425,15.4687062587482,10.2877424515096,16.515896820636,18.49450109978,19.2279544091181,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6775_2#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.3613277344529,11.1735652869425,0,9.57528494301126,4.39432113577272,11.4339132173565,13.4125174965008,14.1459708058388,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_5#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,17.6564687062586,15.4687062587482,9.57528494301126,0,7.40371925614882,15.7290541891622,17.707658468306,18.4411117776443,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_1#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,12.4755048990201,10.2877424515096,4.39432113577272,7.40371925614882,0,10.5480903819234,12.5266946610678,13.2601479704058,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6983_3#61,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,18.7036592681463,16.515896820636,11.4339132173565,15.7290541891622,10.5480903819234,0,2.66126774645081,6.00059988002409,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_5#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,20.6822635472904,18.49450109978,13.4125174965008,17.707658468306,12.5266946610678,2.66126774645081,0,7.97920415916822,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_7#62,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,21.4157168566285,19.2279544091181,14.1459708058388,18.4411117776443,13.2601479704058,6.00059988002409,7.97920415916822,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7038_8#27,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,6.96880623875233,4.72605478904211,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_4#11,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,6.96880623875233,0,5.1097780443911,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_5#13,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.72605478904211,5.1097780443911,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_3#1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.90901819636072,8.03139372125572,11.5132973405318,16.6570685862826,23.1135772845428,27.000799840032,21.6260747850426
6949_3#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.90901819636072,0,7.56188762247558,11.0437912417516,16.1875624875024,22.6440711857626,26.5312937412518,21.1565686862624
6731_4#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.03139372125572,7.56188762247558,0,3.48190361927619,8.62567486502687,15.0821835632873,18.969406118776,13.5946810637871
6736_5#20,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11.5132973405318,11.0437912417516,3.48190361927619,0,9.58088382323514,16.0373925214956,19.9246150769844,14.5498900219956
6259_7#4,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,16.6570685862826,16.1875624875024,8.62567486502687,9.58088382323514,0,9.42791441711645,13.3151369726055,7.94041191761648
6736_7#21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,23.1135772845428,22.6440711857626,15.0821835632873,16.0373925214956,9.42791441711645,0,9.2317536492701,3.85702859428108
6925_5#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,27.000799840032,26.5312937412518,18.969406118776,19.9246150769844,13.3151369726055,9.2317536492701,0,5.37472505498901
6680_4#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,21.6260747850426,21.1565686862624,13.5946810637871,14.5498900219956,7.94041191761648,3.85702859428108,5.37472505498901,0
