6938_8#18,7004_8#75,6949_4#19,6805_5#23,6871_2#3,6731_6#5,6805_3#2,6805_3#14,7038_7#5,6983_4#92,6972_4#16,6972_4#15,6925_4#14,6925_8#14,7004_7#60,7038_5#19,6823_7#6,7054_5#13,6949_4#4,6807_1#5,7004_5#5,7004_6#34,6925_5#21,6823_5#1,6938_6#8,6753_1#14,6753_3#23,6753_2#23,6755_4#9,6736_4#12,6805_2#8,6730_5#16,6753_1#11,6840_3#22,6823_5#13,6983_4#87,6938_5#9,6807_2#22,6830_3#4,6731_6#23,6736_4#7,6680_5#14,6641_6#22,6949_3#9,7004_5#2,6805_2#19,6823_1#19,6899_7#13,6710_8#8,6631_3#17,6649_7#5,6731_5#5,6730_5#1,6630_3#5,6753_4#3,6805_7#13,6925_6#20,7068_4#14,6871_2#1,6753_4#2,6983_3#58,6736_4#21,6823_7#7,6899_5#20,6925_3#17,6949_2#8,6807_3#16,6753_2#10
7004_5#5,Inf,Inf,Inf,Inf,Inf,Inf,Inf,15.9884023195358,13.0637872425513,12.6464707058588,12.77124575085,12.2925414917018,12.0563887222555,14.729454109178,15.8016396720657,16.6290741851628,13.4615076984603,14.1103779244148,13.8610277944411,11.3217356528694,0,4.1793641271744,4.21395720855829,12.6686662667465,14.3979204159169,14.2645470905817,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
7004_6#34,Inf,Inf,Inf,Inf,Inf,Inf,Inf,17.0263947210559,14.1017796440709,13.6844631073788,13.8092381523696,13.3305338932211,13.0943811237755,15.7674465106978,16.8396320735849,17.6670665866822,14.4995000999796,15.1483703259343,14.8990201959605,12.3597280543892,4.1793641271744,0,5.25194961007802,13.7066586682662,15.4359128174362,15.3025394921015,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6925_5#21,Inf,Inf,Inf,Inf,Inf,Inf,Inf,14.5910817836432,11.6664667066588,11.2491501699658,11.373925214957,10.8952209558088,10.6590681863626,13.3321335732855,14.4043191361729,15.2317536492702,12.0641871625676,12.7130573885223,12.4637072585484,9.92441511697622,4.21395720855829,5.25194961007802,0,11.2713457308534,13.0005998800239,12.867226554689,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_5#1,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11.8260347930416,11.5644871025796,11.1471705658863,13.1127774445113,12.6340731853629,12.3979204159166,15.0709858028391,16.1431713657266,16.9706058788237,13.8030393921221,14.4519096180764,14.2025594881028,11.6632673465303,12.6686662667465,13.7066586682662,11.2713457308534,0,5.65046990601884,10.1021795640869,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_6#8,Inf,Inf,Inf,Inf,Inf,Inf,Inf,13.5552889422119,13.2937412517496,12.8764247150566,14.8420315936811,14.3633273345332,14.1271745650872,16.8002399520095,17.8724255148968,18.6998600279946,15.5322935412918,16.1811637672465,15.9318136372723,13.392521495701,14.3979204159169,15.4359128174362,13.0005998800239,5.65046990601884,0,11.8314337132571,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_1#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.95400919816005,13.1603679264148,12.7430513897221,14.708658268346,14.2299540091979,13.9938012397521,16.6668666266746,17.739052189562,18.5664867026592,15.3989202159568,16.0477904419114,15.7984403119375,13.2591481703657,14.2645470905817,15.3025394921015,12.867226554689,10.1021795640869,11.8314337132571,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_3#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,7.73665266946613,7.16276744651079,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6753_2#23,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.73665266946613,0,4.4327134573084,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_4#9,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,7.16276744651079,4.4327134573084,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6736_4#12,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,2.81063787242552,7.68166366726672,9.49550089981996,12.3157368526293,12.212357528494,12.4025194961006,14.3255348930214,12.7076584683061,11.4249150169967,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
