6949_1#7,6823_5#17,6823_3#15,6805_6#13,6938_5#21,6938_5#22,6680_6#14,6731_4#6,6664_1#9,6680_7#5,6753_4#9,6983_5#6,6630_3#20,6983_5#10,6823_6#15,6899_7#2,6983_8#75,6925_6#19,6925_8#5,6983_7#70,7004_8#85,6731_5#6,6736_5#3,6938_3#26,6823_6#11,6259_7#2,6259_7#22,6755_3#7,6823_6#22,6805_7#2,6730_8#6,6823_1#14,6755_5#7,6899_4#17,6972_3#24,6938_8#2,6805_7#20,6823_6#8,6823_6#7,6710_7#2,7004_5#12,6755_6#20,6807_3#2,6807_1#6,6631_6#9,6823_2#16,7092_6#11
6736_5#3,Inf,Inf,Inf,Inf,Inf,Inf,15.9062187562483,17.3233353329337,13.2939412117575,17.1811637672467,20.2149570085978,24.0107978404313,15.387122575485,18.9572085582881,18.0487902419515,17.2845430913818,17.1517696460706,16.988602279544,13.4813037392523,15.1721655668865,17.0049990001995,4.87982403519282,0,12.8988202359528,10.9940011997602,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_3#26,Inf,Inf,Inf,Inf,Inf,Inf,20.3199360127974,21.737052589482,17.7076584683062,21.5948810237952,24.6286742651471,28.4245150969803,19.8008398320334,23.370925814837,22.4625074985001,21.6982603479299,21.565486902619,21.4023195360922,17.895020995801,19.585882823435,21.4187162567483,11.5998800239952,12.8988202359528,0,9.30613877224517,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_6#11,Inf,Inf,Inf,Inf,Inf,Inf,18.4151169766043,19.8322335532893,15.8028394321133,19.6900619876022,22.723855228954,26.5196960607876,17.8960207958407,21.466106778644,20.5576884623069,19.7934413117371,19.6606678664264,19.4975004998997,15.9902019596077,17.6810637872425,19.513897220556,9.69506098780217,10.9940011997602,9.30613877224517,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6259_7#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,4.79384123175361,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6259_7#22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,4.79384123175361,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_3#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,11.0431913617276,10.1189762047588,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_6#22,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,11.0431913617276,0,5.90601879624083,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6805_7#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,10.1189762047588,5.90601879624083,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6730_8#6,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,10.9226154769045,8.75884823035388,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6823_1#14,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,10.9226154769045,0,6.9356128774246,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6755_5#7,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.75884823035388,6.9356128774246,0,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6899_4#17,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,0,15.1813637272545,16.2479504099181,11.7482503499299,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6972_3#24,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,15.1813637272545,0,4.92301539692054,6.90441911617692,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
6938_8#2,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,16.2479504099181,4.92301539692054,0,7.97100579884029,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
